N: 20; d: 20
Valid 3: 0.78743 	 r2: 0.18888
Train 4: 0.82290 	 r2: 0.25488
Valid 4: 0.80667 	 r2: 0.22109
Train 5: 0.83365 	 r2: 0.27198
Valid 5: 0.81431 	 r2: 0.24019
Train 6: 0.84127 	 r2: 0.28542
Valid 6: 0.81860 	 r2: 0.24834
Train 7: 0.84506 	 r2: 0.29269
Valid 7: 0.81884 	 r2: 0.24768
Train 8: 0.84756 	 r2: 0.29785
Valid 8: 0.81895 	 r2: 0.24867
Train 9: 0.85032 	 r2: 0.30412
Valid 9: 0.81956 	 r2: 0.24991
Train 10: 0.85345 	 r2: 0.31152
Valid 10: 0.82003 	 r2: 0.25053
Train 11: 0.85643 	 r2: 0.31842
Valid 11: 0.82014 	 r2: 0.24997
Train 12: 0.85856 	 r2: 0.32325
Valid 12: 0.81978 	 r2: 0.24843
Train 13: 0.85986 	 r2: 0.32607
Valid 13: 0.81968 	 r2: 0.24665
Train 14: 0.85957 	 r2: 0.32516
Valid 14: 0.81884 	 r2: 0.24088
Train 15: 0.85550 	 r2: 0.31628
Valid 15: 0.81342 	 r2: 0.23649
Train 16: 0.85957 	 r2: 0.32499
Valid 16: 0.81815 	 r2: 0.24479
Finish: (0.820140333830248, 0.2499746437836955)
Test 17: 0.83421 	 r2: 0.26850
Train 1: 0.68354 	 r2: 0.07110
Valid 1: 0.75894 	 r2: 0.15874
Train 2: 0.78496 	 r2: 0.19362
Valid 2: 0.76546 	 r2: 0.15498
Train 3: 0.79951 	 r2: 0.21940
Valid 3: 0.77626 	 r2: 0.17998
Train 4: 0.81479 	 r2: 0.24243
Valid 4: 0.79400 	 r2: 0.19630
Train 5: 0.82652 	 r2: 0.26024
Valid 5: 0.80870 	 r2: 0.22654
Train 6: 0.83700 	 r2: 0.27795
Valid 6: 0.81473 	 r2: 0.23863
Train 7: 0.84422 	 r2: 0.29145
Valid 7: 0.81892 	 r2: 0.24887
Train 8: 0.85108 	 r2: 0.30600
Valid 8: 0.82137 	 r2: 0.25135
Train 9: 0.85551 	 r2: 0.31634
Valid 9: 0.82220 	 r2: 0.25155
Train 10: 0.85946 	 r2: 0.32546
Valid 10: 0.82302 	 r2: 0.25177
Train 11: 0.86265 	 r2: 0.33287
Valid 11: 0.82328 	 r2: 0.24951
Train 12: 0.86499 	 r2: 0.33846
Valid 12: 0.82254 	 r2: 0.24334
Train 13: 0.86666 	 r2: 0.34265
Valid 13: 0.82157 	 r2: 0.24039
Train 14: 0.86555 	 r2: 0.33998
Valid 14: 0.81649 	 r2: 0.23390
Train 15: 0.86182 	 r2: 0.33026
Valid 15: 0.81423 	 r2: 0.22149
Train 16: 0.86313 	 r2: 0.33591
Valid 16: 0.81236 	 r2: 0.21760
Finish: (0.8232774714487288, 0.2495113989846911)
Test 17: 0.83312 	 r2: 0.26171
N: 20; d: 60
Train 1: 0.69077 	 r2: 0.06087
Valid 1: 0.76085 	 r2: 0.15133
Train 2: 0.78915 	 r2: 0.20289
Valid 2: 0.77341 	 r2: 0.17396
Train 3: 0.81088 	 r2: 0.23612
Valid 3: 0.79366 	 r2: 0.19729
Train 4: 0.82575 	 r2: 0.25896
Valid 4: 0.80983 	 r2: 0.22857
Train 5: 0.83694 	 r2: 0.27798
Valid 5: 0.81648 	 r2: 0.24398
Train 6: 0.84452 	 r2: 0.29225
Valid 6: 0.81979 	 r2: 0.24917
Train 7: 0.84933 	 r2: 0.30257
Valid 7: 0.82096 	 r2: 0.24930
Train 8: 0.85361 	 r2: 0.31243
Valid 8: 0.82160 	 r2: 0.25011
Train 9: 0.85727 	 r2: 0.32088
Valid 9: 0.82177 	 r2: 0.24787
Train 10: 0.86005 	 r2: 0.32722
Valid 10: 0.82163 	 r2: 0.24252
Train 11: 0.86141 	 r2: 0.33061
Valid 11: 0.81987 	 r2: 0.24070
Train 12: 0.85551 	 r2: 0.31638
Valid 12: 0.81429 	 r2: 0.22047
Train 13: 0.85921 	 r2: 0.32660
Valid 13: 0.81560 	 r2: 0.22593
Train 14: 0.86175 	 r2: 0.33215
Valid 14: 0.81563 	 r2: 0.23041
Finish: (0.8217682107629155, 0.2478737298554039)
Test 15: 0.83314 	 r2: 0.26336
Train 1: 0.67501 	 r2: 0.01694
Valid 1: 0.75988 	 r2: 0.15159
Train 2: 0.78601 	 r2: 0.19783
Valid 2: 0.76694 	 r2: 0.17399
Train 3: 0.80474 	 r2: 0.22763
Valid 3: 0.78570 	 r2: 0.18761
Train 4: 0.82358 	 r2: 0.25634
Valid 4: 0.80923 	 r2: 0.22763
Train 5: 0.83654 	 r2: 0.27779
Valid 5: 0.81605 	 r2: 0.24346
Train 6: 0.84575 	 r2: 0.29517
Valid 6: 0.82033 	 r2: 0.25056
Train 7: 0.85288 	 r2: 0.31008
Valid 7: 0.82159 	 r2: 0.25005
Train 8: 0.85741 	 r2: 0.32003
Valid 8: 0.82117 	 r2: 0.24939
Train 9: 0.86171 	 r2: 0.32927
Valid 9: 0.82076 	 r2: 0.24769
Train 10: 0.86546 	 r2: 0.33744
Valid 10: 0.81949 	 r2: 0.24395
Train 11: 0.86854 	 r2: 0.34414
Valid 11: 0.81687 	 r2: 0.23296
Train 12: 0.87060 	 r2: 0.34962
Valid 12: 0.81508 	 r2: 0.22883
Finish: (0.8215945423613418, 0.25004648677255037)
Test 13: 0.83237 	 r2: 0.26242
Train 1: 0.72461 	 r2: 0.11621
Valid 1: 0.76088 	 r2: 0.15295
Train 2: 0.78668 	 r2: 0.19944
Valid 2: 0.77420 	 r2: 0.17158
Train 3: 0.81388 	 r2: 0.23935
Valid 3: 0.80377 	 r2: 0.22631
Train 4: 0.83444 	 r2: 0.27331
Valid 4: 0.81489 	 r2: 0.24210
Train 5: 0.84102 	 r2: 0.28474
Valid 5: 0.81687 	 r2: 0.24235
Train 6: 0.84465 	 r2: 0.29173
Valid 6: 0.81817 	 r2: 0.24330
Train 7: 0.84818 	 r2: 0.29946
Valid 7: 0.81894 	 r2: 0.24558
Train 8: 0.85094 	 r2: 0.30564
Valid 8: 0.82028 	 r2: 0.24146
Train 9: 0.85440 	 r2: 0.31308
Valid 9: 0.81910 	 r2: 0.24624
Train 10: 0.86059 	 r2: 0.32671
Valid 10: 0.82032 	 r2: 0.24852
Train 11: 0.86409 	 r2: 0.33471
Valid 11: 0.82043 	 r2: 0.24579
Train 12: 0.86645 	 r2: 0.34021
Valid 12: 0.82000 	 r2: 0.24254
Train 13: 0.86776 	 r2: 0.34312
Valid 13: 0.81954 	 r2: 0.23866
Train 14: 0.86697 	 r2: 0.34132
Valid 14: 0.81680 	 r2: 0.22410
Train 15: 0.86610 	 r2: 0.33892
Valid 15: 0.81570 	 r2: 0.23405
Train 16: 0.87122 	 r2: 0.35189
Valid 16: 0.81773 	 r2: 0.23448
Finish: (0.8204303912772366, 0.24579290045517532)
Test 17: 0.83340 	 r2: 0.26394
Train 1: 0.70651 	 r2: 0.10193
Valid 1: 0.76067 	 r2: 0.14371
Train 2: 0.78914 	 r2: 0.20308
Valid 2: 0.76831 	 r2: 0.17482
Train 3: 0.80821 	 r2: 0.23099
Valid 3: 0.79353 	 r2: 0.19683
Train 4: 0.82671 	 r2: 0.26084
Valid 4: 0.81141 	 r2: 0.22299
Train 5: 0.83673 	 r2: 0.27750
Valid 5: 0.81399 	 r2: 0.23344
Train 6: 0.84289 	 r2: 0.28847
Valid 6: 0.81814 	 r2: 0.24492
Train 7: 0.84900 	 r2: 0.30099
Valid 7: 0.82059 	 r2: 0.24782
Train 8: 0.85401 	 r2: 0.31227
Valid 8: 0.82088 	 r2: 0.24715
Train 9: 0.85818 	 r2: 0.32157
Valid 9: 0.82029 	 r2: 0.24290
Train 10: 0.85965 	 r2: 0.32487
Valid 10: 0.81675 	 r2: 0.24164
Train 11: 0.85827 	 r2: 0.32127
Valid 11: 0.82028 	 r2: 0.24137
Train 12: 0.86499 	 r2: 0.33675
Valid 12: 0.82025 	 r2: 0.24296
Train 13: 0.86721 	 r2: 0.34138
Valid 13: 0.81929 	 r2: 0.24204
Finish: (0.8208753103051366, 0.24715193870449392)
Test 14: 0.83414 	 r2: 0.26577
Train 1: 0.69157 	 r2: 0.06711
Valid 1: 0.76109 	 r2: 0.15230
Train 2: 0.78772 	 r2: 0.20021
Valid 2: 0.77250 	 r2: 0.16326
Train 3: 0.80981 	 r2: 0.23479
Valid 3: 0.79071 	 r2: 0.19713
Train 4: 0.82546 	 r2: 0.25903
Valid 4: 0.80780 	 r2: 0.22999
Train 5: 0.83698 	 r2: 0.27860
Valid 5: 0.81562 	 r2: 0.24218
Train 6: 0.84436 	 r2: 0.29230
Valid 6: 0.81792 	 r2: 0.24691
Train 7: 0.85060 	 r2: 0.30552
Valid 7: 0.82082 	 r2: 0.25049
Train 8: 0.85531 	 r2: 0.31650
Valid 8: 0.82052 	 r2: 0.24801
Train 9: 0.85899 	 r2: 0.32504
Valid 9: 0.82040 	 r2: 0.24679
Train 10: 0.86165 	 r2: 0.33132
Valid 10: 0.81935 	 r2: 0.24248
Train 11: 0.86277 	 r2: 0.33420
Valid 11: 0.82061 	 r2: 0.24389
Train 12: 0.86158 	 r2: 0.33116
Valid 12: 0.81637 	 r2: 0.23232
Finish: (0.8208206787123908, 0.2504900872081084)
Test 13: 0.83294 	 r2: 0.26489
Train 1: 0.63035 	 r2: -0.05178
Valid 1: 0.75853 	 r2: 0.14145
Train 2: 0.78838 	 r2: 0.19962
Valid 2: 0.76915 	 r2: 0.17643
Train 3: 0.80705 	 r2: 0.23110
Valid 3: 0.78391 	 r2: 0.19073
Train 4: 0.82128 	 r2: 0.25367
Valid 4: 0.79832 	 r2: 0.20902
Train 5: 0.83223 	 r2: 0.27042
Valid 5: 0.81257 	 r2: 0.23294
Train 6: 0.84045 	 r2: 0.28515
Valid 6: 0.81759 	 r2: 0.24648
Train 7: 0.84712 	 r2: 0.29859
Valid 7: 0.82038 	 r2: 0.24912
Train 8: 0.85063 	 r2: 0.30626
Valid 8: 0.82133 	 r2: 0.24940
Train 9: 0.85402 	 r2: 0.31354
Valid 9: 0.82119 	 r2: 0.24769
Train 10: 0.85638 	 r2: 0.31914
Valid 10: 0.81976 	 r2: 0.24375
Train 11: 0.85827 	 r2: 0.32333
Valid 11: 0.81877 	 r2: 0.24413
Train 12: 0.86230 	 r2: 0.33315
Valid 12: 0.81984 	 r2: 0.24278
Train 13: 0.86515 	 r2: 0.34006
Valid 13: 0.81887 	 r2: 0.23826
Finish: (0.8213314778849855, 0.24939615712228214)
Test 14: 0.83374 	 r2: 0.26594
N: 30; d: 20
Train 1: 0.59539 	 r2: 0.00766
Valid 1: 0.75547 	 r2: 0.11235
Train 2: 0.77741 	 r2: 0.17481
Valid 2: 0.76158 	 r2: 0.16137
Train 3: 0.79504 	 r2: 0.20654
Valid 3: 0.76556 	 r2: 0.17068
Train 4: 0.80102 	 r2: 0.22010
Valid 4: 0.77240 	 r2: 0.18190
Train 5: 0.80985 	 r2: 0.23461
Valid 5: 0.78196 	 r2: 0.19405
Train 6: 0.82059 	 r2: 0.25141
Valid 6: 0.79357 	 r2: 0.20277
