N: 20; d: 20
Test 15: 0.83350 	 r2: 0.26674
Train 1: 0.57919 	 r2: -0.16755
Valid 1: 0.75441 	 r2: 0.14026
Train 2: 0.78534 	 r2: 0.19515
Valid 2: 0.76184 	 r2: 0.16181
Train 3: 0.79510 	 r2: 0.21496
Valid 3: 0.77191 	 r2: 0.17671
Train 4: 0.81091 	 r2: 0.23726
Valid 4: 0.79157 	 r2: 0.19832
Train 5: 0.82888 	 r2: 0.26436
Valid 5: 0.81418 	 r2: 0.23805
Train 6: 0.84027 	 r2: 0.28409
Valid 6: 0.81918 	 r2: 0.24991
Train 7: 0.84844 	 r2: 0.30076
Valid 7: 0.82106 	 r2: 0.25020
Train 8: 0.85314 	 r2: 0.31140
Valid 8: 0.82032 	 r2: 0.24852
Train 9: 0.85667 	 r2: 0.31932
Valid 9: 0.82006 	 r2: 0.24620
Train 10: 0.85936 	 r2: 0.32573
Valid 10: 0.81938 	 r2: 0.24093
Train 11: 0.86069 	 r2: 0.32912
Valid 11: 0.81842 	 r2: 0.24274
Train 12: 0.85562 	 r2: 0.31666
Valid 12: 0.81324 	 r2: 0.23278
Finish: (0.8210639530823431, 0.2501952452110866)
Test 13: 0.83240 	 r2: 0.26313
N: 20; d: 60
Train 1: 0.71896 	 r2: 0.11016
Valid 1: 0.76038 	 r2: 0.14962
Train 2: 0.79020 	 r2: 0.20340
Valid 2: 0.77988 	 r2: 0.17392
Train 3: 0.81612 	 r2: 0.24378
Valid 3: 0.80749 	 r2: 0.22076
Train 4: 0.83279 	 r2: 0.27038
Valid 4: 0.81487 	 r2: 0.23976
Train 5: 0.84016 	 r2: 0.28261
Valid 5: 0.81525 	 r2: 0.24270
Train 6: 0.84542 	 r2: 0.29283
Valid 6: 0.81836 	 r2: 0.24785
Train 7: 0.85013 	 r2: 0.30285
Valid 7: 0.81908 	 r2: 0.24883
Train 8: 0.85399 	 r2: 0.31159
Valid 8: 0.82009 	 r2: 0.24995
Train 9: 0.85608 	 r2: 0.31641
Valid 9: 0.82093 	 r2: 0.25082
Train 10: 0.85541 	 r2: 0.31502
Valid 10: 0.81658 	 r2: 0.24337
Train 11: 0.85864 	 r2: 0.32239
Valid 11: 0.82065 	 r2: 0.25231
Train 12: 0.86217 	 r2: 0.33025
Valid 12: 0.82050 	 r2: 0.25069
Train 13: 0.86373 	 r2: 0.33378
Valid 13: 0.82027 	 r2: 0.24644
Train 14: 0.86351 	 r2: 0.33275
Valid 14: 0.82036 	 r2: 0.24808
Finish: (0.8209291718548317, 0.2508230933360023)
