N: 1; d: 20
Valid 14: 0.80974 	 r2: 0.23041
Train 15: 0.86264 	 r2: 0.32910
Valid 15: 0.81082 	 r2: 0.23010
Train 16: 0.86517 	 r2: 0.33574
Valid 16: 0.81121 	 r2: 0.23215
Train 17: 0.86854 	 r2: 0.34376
Valid 17: 0.80918 	 r2: 0.22721
Train 18: 0.87282 	 r2: 0.35379
Valid 18: 0.81078 	 r2: 0.22958
Train 19: 0.87615 	 r2: 0.36200
Valid 19: 0.81036 	 r2: 0.22807
Train 20: 0.87861 	 r2: 0.36846
Valid 20: 0.80969 	 r2: 0.22647
Train 21: 0.87997 	 r2: 0.37208
Valid 21: 0.80877 	 r2: 0.22493
Finish: (0.8112081661525445, 0.23215131889925245)
Test 22: 0.82595 	 r2: 0.24974
Train 1: 0.67976 	 r2: -0.00686
Valid 1: 0.75694 	 r2: 0.14699
Train 2: 0.78615 	 r2: 0.19945
Valid 2: 0.76310 	 r2: 0.17161
Train 3: 0.79695 	 r2: 0.21482
Valid 3: 0.77173 	 r2: 0.17945
Train 4: 0.80901 	 r2: 0.23091
Valid 4: 0.78017 	 r2: 0.19024
Train 5: 0.81664 	 r2: 0.24292
Valid 5: 0.78686 	 r2: 0.19876
Train 6: 0.82345 	 r2: 0.25312
Valid 6: 0.79363 	 r2: 0.20687
Train 7: 0.83130 	 r2: 0.26505
Valid 7: 0.80281 	 r2: 0.22090
Train 8: 0.83866 	 r2: 0.27736
Valid 8: 0.80717 	 r2: 0.22781
Train 9: 0.84289 	 r2: 0.28603
Valid 9: 0.80243 	 r2: 0.21907
Train 10: 0.84434 	 r2: 0.28986
Valid 10: 0.80710 	 r2: 0.22855
Train 11: 0.85075 	 r2: 0.30278
Valid 11: 0.80905 	 r2: 0.23253
Train 12: 0.85606 	 r2: 0.31445
Valid 12: 0.80942 	 r2: 0.23322
Train 13: 0.85938 	 r2: 0.32235
Valid 13: 0.80955 	 r2: 0.23312
Train 14: 0.86208 	 r2: 0.32890
Valid 14: 0.81090 	 r2: 0.23391
Train 15: 0.86499 	 r2: 0.33587
Valid 15: 0.80828 	 r2: 0.22449
Train 16: 0.86787 	 r2: 0.34286
Valid 16: 0.80948 	 r2: 0.22790
Train 17: 0.87083 	 r2: 0.34984
Valid 17: 0.80939 	 r2: 0.22901
Train 18: 0.87284 	 r2: 0.35514
Valid 18: 0.80501 	 r2: 0.21857
Train 19: 0.87558 	 r2: 0.36204
Valid 19: 0.80894 	 r2: 0.22428
Finish: (0.8109041531561133, 0.23390866896961537)
Test 20: 0.82703 	 r2: 0.25493
Train 1: 0.68433 	 r2: 0.00750
Valid 1: 0.75745 	 r2: 0.14781
Train 2: 0.78622 	 r2: 0.19966
Valid 2: 0.76272 	 r2: 0.17100
Train 3: 0.79559 	 r2: 0.21322
Valid 3: 0.77036 	 r2: 0.17810
Train 4: 0.80780 	 r2: 0.22961
Valid 4: 0.77982 	 r2: 0.19072
Train 5: 0.81650 	 r2: 0.24358
Valid 5: 0.78593 	 r2: 0.19828
Train 6: 0.82341 	 r2: 0.25427
Valid 6: 0.79215 	 r2: 0.20609
Train 7: 0.82972 	 r2: 0.26441
Valid 7: 0.79490 	 r2: 0.20883
Train 8: 0.83616 	 r2: 0.27534
Valid 8: 0.79913 	 r2: 0.21397
Train 9: 0.84226 	 r2: 0.28608
Valid 9: 0.80344 	 r2: 0.21830
Train 10: 0.84682 	 r2: 0.29558
Valid 10: 0.80632 	 r2: 0.22285
Train 11: 0.85064 	 r2: 0.30400
Valid 11: 0.81031 	 r2: 0.23424
Train 12: 0.85615 	 r2: 0.31535
Valid 12: 0.80998 	 r2: 0.23327
Train 13: 0.86079 	 r2: 0.32522
Valid 13: 0.81018 	 r2: 0.23229
Train 14: 0.86459 	 r2: 0.33417
Valid 14: 0.81048 	 r2: 0.23140
Train 15: 0.86726 	 r2: 0.34077
Valid 15: 0.81054 	 r2: 0.22912
Train 16: 0.86900 	 r2: 0.34551
Valid 16: 0.80989 	 r2: 0.23191
Train 17: 0.87127 	 r2: 0.35115
Valid 17: 0.80672 	 r2: 0.22484
Train 18: 0.87418 	 r2: 0.35798
Valid 18: 0.80783 	 r2: 0.22509
Train 19: 0.87751 	 r2: 0.36606
Valid 19: 0.80916 	 r2: 0.22809
Train 20: 0.88136 	 r2: 0.37571
Valid 20: 0.80820 	 r2: 0.22429
Finish: (0.8105396325461184, 0.22911930280126735)
Test 21: 0.82746 	 r2: 0.25587
Train 1: 0.68422 	 r2: 0.00495
Valid 1: 0.75785 	 r2: 0.14718
Train 2: 0.78617 	 r2: 0.19959
Valid 2: 0.76376 	 r2: 0.17235
Train 3: 0.79843 	 r2: 0.21656
Valid 3: 0.77418 	 r2: 0.18281
Train 4: 0.81130 	 r2: 0.23422
Valid 4: 0.78231 	 r2: 0.19250
Train 5: 0.81838 	 r2: 0.24501
Valid 5: 0.78823 	 r2: 0.19991
Train 6: 0.82378 	 r2: 0.25296
Valid 6: 0.79224 	 r2: 0.20469
Train 7: 0.82854 	 r2: 0.26055
Valid 7: 0.79593 	 r2: 0.20861
Train 8: 0.83405 	 r2: 0.26922
Valid 8: 0.80329 	 r2: 0.22018
Train 9: 0.83980 	 r2: 0.27889
Valid 9: 0.80643 	 r2: 0.22578
Train 10: 0.84505 	 r2: 0.28875
Valid 10: 0.80843 	 r2: 0.22942
Train 11: 0.84780 	 r2: 0.29523
Valid 11: 0.80530 	 r2: 0.22237
Train 12: 0.85069 	 r2: 0.30217
Valid 12: 0.81058 	 r2: 0.23524
Train 13: 0.85737 	 r2: 0.31629
Valid 13: 0.80960 	 r2: 0.23312
Train 14: 0.86147 	 r2: 0.32570
Valid 14: 0.80905 	 r2: 0.23148
Train 15: 0.86406 	 r2: 0.33229
Valid 15: 0.80728 	 r2: 0.22775
Train 16: 0.86542 	 r2: 0.33602
Valid 16: 0.80729 	 r2: 0.22576
Train 17: 0.86690 	 r2: 0.34026
Valid 17: 0.80821 	 r2: 0.22612
Finish: (0.810578555260629, 0.23524189353758473)
Test 18: 0.82718 	 r2: 0.25611
N: 1; d: 80
Train 1: 0.70252 	 r2: 0.04914
Valid 1: 0.75551 	 r2: 0.15705
Train 2: 0.78263 	 r2: 0.19154
Valid 2: 0.76507 	 r2: 0.16941
Train 3: 0.80193 	 r2: 0.22158
Valid 3: 0.77791 	 r2: 0.18757
Train 4: 0.81330 	 r2: 0.23856
Valid 4: 0.78557 	 r2: 0.19785
Train 5: 0.82234 	 r2: 0.25259
Valid 5: 0.79284 	 r2: 0.20865
Train 6: 0.83109 	 r2: 0.26758
Valid 6: 0.80075 	 r2: 0.21901
Train 7: 0.84018 	 r2: 0.28418
Valid 7: 0.80727 	 r2: 0.22851
Train 8: 0.84866 	 r2: 0.30121
Valid 8: 0.81014 	 r2: 0.23314
Train 9: 0.85564 	 r2: 0.31570
Valid 9: 0.81080 	 r2: 0.23239
Train 10: 0.86150 	 r2: 0.32877
Valid 10: 0.81004 	 r2: 0.22823
Train 11: 0.86416 	 r2: 0.33590
Valid 11: 0.80707 	 r2: 0.21912
Train 12: 0.86046 	 r2: 0.32919
Valid 12: 0.80595 	 r2: 0.22128
Train 13: 0.86890 	 r2: 0.34757
Valid 13: 0.80915 	 r2: 0.22513
Train 14: 0.87692 	 r2: 0.36700
Valid 14: 0.80917 	 r2: 0.22563
Finish: (0.8108034492953011, 0.23239064674553567)
Test 15: 0.82606 	 r2: 0.25353
Train 1: 0.70643 	 r2: 0.05976
Valid 1: 0.75569 	 r2: 0.15638
Train 2: 0.78284 	 r2: 0.19141
Valid 2: 0.76506 	 r2: 0.16987
Train 3: 0.80151 	 r2: 0.22105
Valid 3: 0.77704 	 r2: 0.18677
Train 4: 0.81269 	 r2: 0.23781
Valid 4: 0.78432 	 r2: 0.19731
Train 5: 0.82236 	 r2: 0.25318
