N: 20; d: 20
Train 16: 0.85488 	 r2: 0.31612
Valid 16: 0.81734 	 r2: 0.24162
Train 17: 0.85845 	 r2: 0.32447
Valid 17: 0.81902 	 r2: 0.24461
Finish: (0.8201046452965504, 0.2505427464003255)
Test 18: 0.83413 	 r2: 0.26853
Train 1: 0.60315 	 r2: -0.29396
Valid 1: 0.75018 	 r2: 0.15580
Train 2: 0.78414 	 r2: 0.19967
Valid 2: 0.76031 	 r2: 0.15895
Train 3: 0.79218 	 r2: 0.21031
Valid 3: 0.76120 	 r2: 0.16871
Train 4: 0.79373 	 r2: 0.21285
Valid 4: 0.76278 	 r2: 0.17107
Train 5: 0.79661 	 r2: 0.21686
Valid 5: 0.76725 	 r2: 0.17645
Train 6: 0.80374 	 r2: 0.22673
Valid 6: 0.77732 	 r2: 0.18872
Train 7: 0.81642 	 r2: 0.24505
Valid 7: 0.79370 	 r2: 0.20927
Train 8: 0.83032 	 r2: 0.26666
Valid 8: 0.80830 	 r2: 0.22669
Train 9: 0.84024 	 r2: 0.28426
Valid 9: 0.81648 	 r2: 0.24272
Train 10: 0.84668 	 r2: 0.29737
Valid 10: 0.81886 	 r2: 0.24970
Train 11: 0.85179 	 r2: 0.30855
Valid 11: 0.82047 	 r2: 0.25188
Train 12: 0.85480 	 r2: 0.31522
Valid 12: 0.82096 	 r2: 0.25165
Train 13: 0.85778 	 r2: 0.32202
Valid 13: 0.82097 	 r2: 0.25023
Train 14: 0.86037 	 r2: 0.32811
Valid 14: 0.82097 	 r2: 0.24843
Train 15: 0.86230 	 r2: 0.33286
Valid 15: 0.82033 	 r2: 0.24467
Train 16: 0.86292 	 r2: 0.33455
Valid 16: 0.81920 	 r2: 0.24264
Train 17: 0.86382 	 r2: 0.33628
Valid 17: 0.81809 	 r2: 0.24145
Train 18: 0.86627 	 r2: 0.34254
Valid 18: 0.81722 	 r2: 0.23513
Train 19: 0.86722 	 r2: 0.34485
Valid 19: 0.81642 	 r2: 0.23126
Finish: (0.8209718973973315, 0.24842894134790228)
Test 20: 0.83442 	 r2: 0.26753
Train 1: 0.75231 	 r2: 0.14775
Valid 1: 0.75950 	 r2: 0.14493
Train 2: 0.78703 	 r2: 0.20112
Valid 2: 0.76069 	 r2: 0.16764
Train 3: 0.79178 	 r2: 0.20964
Valid 3: 0.76361 	 r2: 0.16770
Train 4: 0.79828 	 r2: 0.21915
Valid 4: 0.77256 	 r2: 0.17595
Train 5: 0.81159 	 r2: 0.23819
Valid 5: 0.79240 	 r2: 0.19493
Train 6: 0.82394 	 r2: 0.25543
Valid 6: 0.80789 	 r2: 0.22203
Train 7: 0.83493 	 r2: 0.27423
Valid 7: 0.81529 	 r2: 0.23328
Train 8: 0.84271 	 r2: 0.28902
Valid 8: 0.81872 	 r2: 0.24416
Train 9: 0.84914 	 r2: 0.30217
